userId,itemId,rating,weather,timestamp
0,0,5,0,1502251200
0,1,4,6,1471838400
0,1,4,1,1472011200
0,2,5,6,1471838410
0,2,4,1,1463025600
0,4,3,12,1462852800
0,4,4,18,1489032000
0,10,4,13,1463371200
0,53,4,13,1463371210
1,0,5,1,1492056000
1,0,5,4,1557892800
1,0,5,1,1492056010
1,0,4,1,1492056020
1,0,5,1,1492056030
1,0,5,1,1492056040
1,0,5,15,1490846400
1,0,4,15,1490846410
1,0,5,4,1557892810
1,0,5,1,1492056050
1,0,5,1,1492056060
1,1,4,17,1490673600
1,1,5,12,1561521600
1,2,5,36,1491624000
1,2,3,16,1557979200
1,2,4,12,1557460800
1,2,4,6,1557288000
1,2,4,10,1601352000
1,2,3,16,1557979210
1,2,0,17,1601006400
1,2,4,10,1598414400
1,2,4,29,1598328000
1,2,5,1,1597896000
1,2,5,1,1597809600
1,3,5,13,1490500800
1,3,5,4,1557892820
1,4,3,4,1557892830
1,5,5,4,1557892840
1,5,3,16,1557979220
1,5,3,16,1557979230
1,5,4,12,1561089600
1,6,5,12,1562299200
1,6,5,6,1557288010
1,7,5,6,1490760000
1,7,4,12,1561521610
1,8,5,4,1557892850
1,8,5,32,1561435200
1,9,5,15,1490846420
1,9,5,29,1562385600
1,11,3,6,1557288020
1,11,4,12,1561521620
1,11,3,4,1557892860
1,225,5,4,1557892870
1,225,4,12,1561521630
1,226,4,17,1490673610
1,226,5,12,1561089610
1,12,4,24,1561953600
1,14,3,4,1557892880
1,16,5,6,1557288030
1,16,5,12,1561089620
1,17,5,24,1561953610
1,18,5,1,1597896010
1,18,5,46,1491710400
1,18,5,11,1585368000
1,18,5,29,1562385610
1,20,5,1,1492056070
1,21,5,6,1490760010
1,21,4,6,1561176000
1,21,3,16,1557979240
1,24,5,13,1490500810
1,25,4,4,1557892890
1,227,3,16,1557979250
1,227,4,12,1561521640
1,26,2,4,1557892900
1,26,4,24,1561953620
1,28,4,17,1490673620
1,31,3,6,1557288040
1,31,4,21,1562212800
1,32,4,13,1490500820
1,32,4,12,1561521650
1,33,4,12,1562299210
1,33,3,4,1557892910
1,34,3,17,1490673630
1,34,4,32,1561435210
1,34,3,4,1557892920
1,35,4,6,1562472000
1,39,4,12,1561521660
1,39,3,4,1557892930
1,43,5,15,1490846430
1,43,3,4,1557892940
1,43,4,6,1561262400
1,44,4,15,1490846440
1,44,5,29,1562385620
1,44,4,27,1586750400
1,46,3,4,1557892950
1,48,4,6,1557288050
1,48,5,4,1562040000
1,50,5,18,1589342400
1,52,4,13,1490500830
1,52,4,4,1557892960
1,52,4,32,1561435220
1,52,3,12,1558065600
1,53,4,13,1490500840
1,54,3,4,1557892970
1,55,4,21,1562212810
1,55,3,4,1557892980
1,56,4,13,1491969600
1,56,3,6,1561262410
1,229,4,6,1557288060
1,229,4,12,1562299220
1,60,4,4,1557892990
1,65,4,6,1557288070
1,65,4,12,1562299230
1,67,3,4,1557893000
1,67,5,16,1562126400
1,68,4,6,1557288080
1,68,4,16,1562126410
1,69,3,4,1557893010
1,71,4,29,1565150400
1,72,3,4,1557893020
1,73,5,1,1492056080
